ticket_id,ticket_text,category,priority,assigned_team,sentiment,confidence,needs_human_review,summary,tags,auto_reply,reason
20,,Account Access,Medium,Customer Success,Frustrated,Medium,True,The customer is confused about the suspension of their account and is seeking clarification.,"account suspension, confusion, support needed",Thank you for reaching out. We understand your concern regarding your account suspension. Our team will investigate this matter and get back to you shortly.,"The ticket indicates confusion about account status, but lacks details for a confident classification."
21,,Billing,High,Billing,Frustrated,High,False,The customer reports being charged twice for their subscription and requests an immediate refund for the extra amount.,"billing, refund, subscription",We apologize for the inconvenience caused by the double charge. We are reviewing your request and will process the refund for the extra amount as soon as possible.,The customer clearly states a billing issue and requests an urgent resolution.
22,,Account Access,High,Customer Success,Frustrated,High,False,The customer is unable to log into their account despite resetting their password.,"account locked, login issue, password reset",We understand your frustration with being unable to access your account. Our team is looking into this issue and will assist you shortly.,The ticket clearly indicates an account access issue with urgency due to being locked out.
23,,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is experiencing crashes on the website during document uploads.,"website, crashing, upload, technical issue",We apologize for the inconvenience you're facing with document uploads. Our technical team is looking into this issue and will provide an update shortly.,The ticket clearly describes a technical problem with the website related to document uploads.
24,,Billing,Medium,Billing,Neutral,High,False,The customer is requesting to update their billing address.,"billing, address update",Thank you for your request. We will assist you with updating your billing address shortly.,The request is clear and pertains to billing address updates.
25,,General Inquiry,Medium,Customer Success,Frustrated,High,False,"The customer is inquiring about the status of their order, which has not arrived and shows no tracking updates for a week.","order status, tracking, delivery issue",Thank you for reaching out. We understand your concern about your order's status. We will investigate this issue and provide you with an update shortly.,The customer expressed frustration regarding a delayed order and lack of tracking updates.
26,,General Inquiry,High,Customer Success,Frustrated,High,False,The customer is expressing frustration over inadequate support received after multiple contacts.,"service, support, frustration","We apologize for the inconvenience you've experienced. Your feedback is important to us, and we will escalate your issue to ensure you receive the assistance you need.",The customer clearly expresses dissatisfaction with service and has reached out multiple times without resolution.
27,,Billing,Medium,Billing,Frustrated,Medium,True,The customer is requesting a refund.,"refund, billing, customer request",Thank you for reaching out. We understand that you are requesting a refund. Please provide more details about your request so we can assist you further.,The ticket is very short and lacks specific details regarding the refund request.
28,,General Inquiry,Medium,Customer Success,Neutral,Low,True,The customer is requesting assistance but has not provided specific details.,manual-review,Thank you for reaching out. Could you please provide more details about the assistance you need?,The ticket lacks sufficient information to determine the specific issue or request.
29,,Technical Issues,Medium,Technical Support,Frustrated,Medium,True,The customer is experiencing slow performance with the app.,"app performance, slow, technical issue",We understand that the app's performance is not meeting your expectations. Our technical team is looking into this issue and will provide an update shortly.,The ticket indicates a performance issue but lacks detail for a confident classification.
30,,Account Access,Medium,Customer Success,Frustrated,High,False,The customer is unable to reset their password as the reset email is not being received.,"password reset, email issue, account access","We understand that you're having trouble receiving the password reset email. Please check your spam folder, and if you still don't see it, we can assist you further.",The ticket clearly states an issue with password reset and email delivery.
31,,Account Access,Medium,Customer Success,Neutral,Medium,True,The customer is uncertain about an issue with their account.,"account, issue, uncertainty",Thank you for reaching out. We understand you have concerns about your account. Please provide more details so we can assist you better.,The ticket is vague and lacks specific details about the account issue.
32,,Billing,High,Billing,Frustrated,High,False,The customer is reporting an incorrect amount on their invoice.,"invoice, billing, error",We apologize for the inconvenience regarding your invoice. Our billing team will review the issue and get back to you shortly.,The ticket clearly indicates a billing issue with a sense of frustration from the customer.
33,,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is unable to connect to the VPN following a recent update.,"VPN, connection issue, update",We understand that you're having trouble connecting to the VPN after the update. Our technical support team is looking into this issue and will get back to you shortly.,The ticket clearly indicates a technical issue related to VPN connectivity after an update.
34,,Technical Issues,Medium,Technical Support,Frustrated,Medium,True,The customer is inquiring about the possibility of recovering accidentally deleted files.,"file recovery, technical support, accidental deletion","We understand how important your files are. Please provide more details about the deletion, and our team will assist you in checking recovery options.",The request involves a technical issue that may require further clarification and assistance.
35,,Account Access,High,Technical Support,Frustrated,High,False,"The employee portal is displaying an access denied error, indicating a potential issue with user permissions.","access denied, employee portal, permissions",We understand that you're experiencing an access denied error on the employee portal. Our Technical Support team is looking into this issue and will get back to you shortly.,The ticket clearly indicates a technical issue related to account access.
36,,Billing,High,Billing,Frustrated,High,False,The customer reports a payment failure despite being charged by their bank account.,"payment, billing, bank charge, failed transaction",We understand your frustration regarding the payment issue. Our billing team will investigate this matter promptly and get back to you shortly.,The ticket clearly indicates a billing issue with a payment failure and customer frustration.
37,,Account Access,Medium,Customer Success,Neutral,High,False,The customer wants to cancel their subscription.,"subscription, cancellation, account",We have received your request to cancel your subscription. Our team will process this shortly and confirm the cancellation.,The ticket clearly states the customer's intent to cancel their subscription.
38,,Technical Issues,High,Technical Support,Frustrated,High,False,The customer is experiencing issues with the dashboard not loading reports.,"dashboard, reports, loading issue",We understand that you're having trouble loading reports on the dashboard. Our technical support team is looking into this issue and will get back to you shortly.,The ticket clearly indicates a technical issue with the dashboard functionality.
39,,General Inquiry,Medium,Customer Success,Neutral,Medium,True,The customer is requesting a phone call.,"call request, customer support",Thank you for reaching out. We will arrange for someone to call you shortly.,The request is vague and lacks specific details.
40,,Account Access,Medium,Customer Success,Frustrated,Medium,True,The customer is confused about the suspension of their account and is seeking clarification.,"account suspension, confusion, support needed",We understand your concern regarding your account suspension. Please provide us with your account details so we can assist you further.,"The ticket indicates confusion about account status, but lacks specific details for a confident resolution."
41,"It would be really helpful if the application supported dark mode. I work late at night, and the bright interface is difficult to use.
",Product Feedback,Medium,Product,Neutral,High,False,The customer is requesting the addition of a dark mode feature for the application to improve usability at night.,"dark mode, usability, feature request",Thank you for your feedback! We appreciate your suggestion for a dark mode feature and will pass it along to our product team for consideration.,The ticket clearly expresses a feature request related to usability.
42,"It would be really helpful if the application supported dark mode. I work late at night, and the bright interface is difficult to use.
",Product Feedback,Medium,Product,Neutral,High,False,The customer is requesting the addition of a dark mode feature for the application to improve usability at night.,"dark mode, usability, feature request",Thank you for your feedback! We appreciate your suggestion for a dark mode feature and will pass it along to our product team for consideration.,The ticket clearly expresses a feature request related to usability.
43,Can you tell me how to update my profile information and change my email address?,Account Access,Medium,Customer Success,Neutral,High,False,The customer is requesting information on how to update their profile information and change their email address.,"profile update, email change, account management","Thank you for your inquiry. To update your profile information and change your email address, please log into your account and navigate to the settings section. If you need further assistance, feel free to reach out.",The request is clear and pertains to account management.
44,"This is absolutely unacceptable! I've contacted support three times, and nobody has responded. My issue is still unresolved, and I'm seriously considering canceling my subscription.",Customer Support,High,Customer Success,Frustrated,High,False,The customer is frustrated due to a lack of response from support after multiple contacts regarding an unresolved issue.,"support, unresolved issue, cancellation",We apologize for the inconvenience and understand your frustration. A member of our support team will reach out to you shortly to resolve your issue.,The customer expressed strong dissatisfaction with the support response time and is considering cancellation.
